tiempo,fase,duracion,ciclo,cola_v,cola_p,extension,tiempo_total,motivo
2927.0,AMARILLO_VEHICULAR,3,53,23,4,,,
2930.0,VERDE_PEATONAL,15,53,24,6,,,COLA_PEATONAL_ALTA
2945.0,AMARILLO_PEATONAL,3,53,29,0,,,
2948.0,VERDE_VEHICULAR_INICIAL,20,54,31,0,0.0,20.0,
2968.0,VERDE_VEHICULAR_EXTENSION,5,54,24,1,1.0,25.0,
2973.0,VERDE_VEHICULAR_EXTENSION,5,54,23,1,2.0,30.0,
2978.0,VERDE_VEHICULAR_EXTENSION,5,54,25,3,3.0,35.0,
2983.0,VERDE_VEHICULAR_EXTENSION,5,54,24,3,4.0,40.0,
2988.0,VERDE_VEHICULAR_EXTENSION,5,54,20,4,5.0,45.0,
2993.0,VERDE_VEHICULAR_EXTENSION,5,54,19,4,6.0,50.0,
2998.0,VERDE_VEHICULAR_EXTENSION,5,54,18,5,7.0,55.0,
3003.0,VERDE_VEHICULAR_EXTENSION,5,54,17,5,8.0,60.0,
3008.0,AMARILLO_VEHICULAR,3,54,13,5,,,
3011.0,VERDE_PEATONAL,15,54,13,5,,,COLA_PEATONAL_ALTA
3026.0,AMARILLO_PEATONAL,3,54,15,0,,,
3029.0,VERDE_VEHICULAR_INICIAL,20,55,16,0,0.0,20.0,
3049.0,VERDE_VEHICULAR_EXTENSION,5,55,7,0,1.0,25.0,
3054.0,VERDE_VEHICULAR_EXTENSION,5,55,5,0,2.0,30.0,
3059.0,AMARILLO_VEHICULAR,3,55,3,2,,,
3062.0,VERDE_PEATONAL,15,55,4,2,,,HAY_PEATONES
3077.0,AMARILLO_PEATONAL,3,55,7,1,,,
3080.0,VERDE_VEHICULAR_INICIAL,20,56,8,1,0.0,20.0,
3100.0,AMARILLO_VEHICULAR,3,56,1,2,,,
3103.0,VERDE_PEATONAL,15,56,3,2,,,HAY_PEATONES
3118.0,AMARILLO_PEATONAL,3,56,5,0,,,
3121.0,VERDE_VEHICULAR_INICIAL,20,57,5,0,0.0,20.0,
3141.0,VERDE_VEHICULAR_EXTENSION,5,57,5,2,1.0,25.0,
3146.0,AMARILLO_VEHICULAR,3,57,4,2,,,
3149.0,VERDE_PEATONAL,15,57,6,2,,,HAY_PEATONES
3164.0,AMARILLO_PEATONAL,3,57,10,0,,,
